# outside_temperature_celsius, room_temperature_celsius, fridge_temperature_celsius
11.0090,15.5916,3.7576
11.5475,25.1463,3.5101
6.4504,22.1235,4.2651
8.8174,23.4696,5.4901
12.8517,19.0253,5.7069
7.1231,21.6765,4.7113
10.7095,26.2486,7.3087
11.5021,22.1027,4.7641
12.1842,20.8770,3.3325
8.3601,22.9891,2.8159
11.3489,15.7789,3.9456
10.3888,14.6139,4.3346
9.4737,22.3957,2.0234
8.3820,20.4422,6.5625
15.2862,17.7290,2.0449
10.6963,20.9962,6.1459
9.1000,17.9925,6.9462
11.0721,27.4922,6.3561
8.1325,23.3145,2.8901
9.2042,21.5930,7.2339
11.6283,18.1289,2.5823
10.1622,16.8065,8.7724
7.5036,17.3377,6.5918
6.7846,21.5842,8.2296
10.7751,24.7863,4.2715
6.4949,20.5967,6.4081
12.2127,16.9385,2.6445
9.6529,17.7236,2.7368
9.8227,20.5335,5.7621
6.3666,21.3941,3.7176
10.7603,16.8830,1.5841
8.4250,21.3812,7.9794
9.6956,15.4465,5.7719
8.1593,19.0816,5.2526
9.9953,22.1875,3.3838
5.8077,14.7853,4.8418
6.0785,16.3178,4.4669
8.7362,19.2440,4.2650
9.0562,19.3059,1.9332
9.4674,14.0710,5.4184
9.5944,26.6458,5.0843
8.1649,20.0856,4.3000
6.2149,17.6173,9.7931
8.9635,18.8675,4.8501
11.5081,19.3541,9.8604
12.1061,18.5980,6.9854
10.1994,20.8484,4.9509
12.2273,21.7211,3.3323
10.9227,21.7651,2.8004
12.5532,20.3309,8.6465
12.5444,17.4957,4.6119
10.4734,18.1133,5.6853
10.2083,21.6127,3.1256
12.0487,22.5417,5.0314
15.1056,14.5837,6.8376
8.8766,18.6651,5.5948
9.0161,12.8614,6.9431
11.4959,20.2610,7.3103
8.9348,24.9896,1.9960
8.0366,17.9865,5.3772
11.0586,16.2834,2.1684
8.4855,18.5965,5.6654
7.3389,26.5104,8.0947
5.8921,22.4612,5.6662
5.5807,15.5409,4.4149
13.5610,18.1068,4.0330
10.7911,19.3777,5.4393
11.3190,20.2286,2.8063
9.3213,20.1909,6.6681
11.8050,15.2132,3.3816
9.7525,21.1562,7.3887
10.6228,14.4948,6.9756
9.9453,20.9910,3.1020
11.4786,18.6886,5.9571
12.5605,22.0131,3.7830
11.8100,23.4323,4.8163
11.0444,20.3628,2.2365
11.0935,16.5456,7.5853
12.9979,13.1485,4.3764
12.7136,17.2197,4.2076
9.0906,22.3055,2.2684
9.7576,21.6048,3.5030
10.7683,24.2137,3.1287
10.0529,24.3541,3.2286
9.4908,21.9115,4.2653
